Time,Step,Contrastive Loss,Clustering Loss,[Representation] ACC,[Model] ACC,NMI Model,Note: ...
28/07/2021 14:54:01,0,0.01817,0.00164,0.44430,0.45350,0.39172,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 14:57:02,50,0.01009,0.00112,0.43495,0.44745,0.38615,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 15:00:12,100,0.00924,0.00111,0.46750,0.44650,0.38591,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 15:03:47,150,0.00909,0.00116,0.45070,0.44590,0.38540,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 15:06:57,200,0.00926,0.00137,0.44900,0.44510,0.38406,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 15:09:48,250,0.00961,0.00168,0.43320,0.44360,0.38303,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 15:12:35,300,0.01007,0.00209,0.43240,0.43960,0.37910,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 15:15:26,350,0.01084,0.00271,0.42270,0.43465,0.37548,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 15:18:36,400,0.01236,0.00400,0.43085,0.42885,0.37032,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 15:21:40,450,0.01364,0.00500,0.43125,0.42045,0.36391,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 15:24:30,500,0.01592,0.00691,0.42250,0.41270,0.35641,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 15:27:21,550,0.01776,0.00839,0.39930,0.40285,0.34973,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 15:30:44,600,0.02084,0.01097,0.40930,0.38820,0.34153,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 15:33:34,650,0.02445,0.01403,0.40445,0.37685,0.33400,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 15:36:26,700,0.02722,0.01610,0.36615,0.36295,0.32270,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 15:39:21,750,0.03149,0.01966,0.35920,0.35090,0.31596,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 15:42:26,800,0.03534,0.02276,0.35405,0.34595,0.31236,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 15:45:17,850,0.03732,0.02466,0.34370,0.34195,0.30977,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 15:48:17,900,0.03979,0.02633,0.33740,0.33600,0.30849,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 15:51:07,950,0.04125,0.02779,0.33495,0.33265,0.30773,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 15:53:51,1000,0.04372,0.02988,0.33365,0.33080,0.30910,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 15:56:51,1050,0.04404,0.02985,0.33130,0.32955,0.30960,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 15:59:39,1100,0.04565,0.03129,0.32555,0.32875,0.30988,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 16:02:30,1150,0.04599,0.03089,0.32400,0.32700,0.30917,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 16:05:33,1200,0.04665,0.03144,0.32795,0.32735,0.31089,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 16:08:32,1250,0.04764,0.03253,0.33115,0.32655,0.31244,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 16:11:19,1300,0.04772,0.03249,0.33380,0.32780,0.31367,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 16:14:09,1350,0.04761,0.03237,0.33405,0.32805,0.31417,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 16:17:07,1400,0.04895,0.03369,0.33310,0.32790,0.31463,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 16:19:55,1450,0.04813,0.03246,0.32900,0.32860,0.31809,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 16:22:47,1500,0.04775,0.03198,0.33050,0.32885,0.31732,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 16:25:46,1550,0.04808,0.03222,0.32930,0.32915,0.31931,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 16:28:32,1600,0.04782,0.03177,0.32980,0.32965,0.31896,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 16:31:26,1650,0.04813,0.03212,0.32995,0.32820,0.31724,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 16:34:16,1700,0.04834,0.03228,0.32980,0.33010,0.32009,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 16:37:18,1750,0.04784,0.03162,0.33015,0.32760,0.31792,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 16:40:00,1800,0.04783,0.03137,0.32975,0.33070,0.31791,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 16:42:56,1850,0.04722,0.03111,0.32935,0.33050,0.31477,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 16:45:55,1900,0.04715,0.03093,0.32985,0.32855,0.31498,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 16:48:40,1950,0.04726,0.03089,0.32985,0.32115,0.31339,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 16:51:25,2000,0.04659,0.03032,0.33065,0.32425,0.31165,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 16:54:10,2050,0.04676,0.03069,0.32985,0.33585,0.31467,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 16:57:06,2100,0.04708,0.03090,0.32970,0.33070,0.31161,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 16:59:53,2150,0.04677,0.03084,0.32960,0.33260,0.31391,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 17:02:48,2200,0.04643,0.03064,0.33005,0.33715,0.31253,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 17:05:47,2250,0.04586,0.02996,0.32895,0.33585,0.31154,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 17:08:41,2300,0.04611,0.03018,0.32825,0.33280,0.30925,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 17:11:25,2350,0.04640,0.03039,0.32850,0.33870,0.30977,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 17:14:13,2400,0.04625,0.03052,0.32865,0.33160,0.30829,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 17:17:00,2450,0.04521,0.02889,0.32865,0.33905,0.31168,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 17:19:52,2500,0.04530,0.02928,0.32900,0.33770,0.30922,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 17:22:18,2550,0.04514,0.02947,0.32860,0.33845,0.31162,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 17:24:36,2600,0.04537,0.02922,0.32700,0.33575,0.30968,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 17:26:55,2650,0.04518,0.02982,0.32855,0.33675,0.31030,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 17:29:23,2700,0.04478,0.02870,0.32775,0.33725,0.31025,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 17:31:46,2750,0.04502,0.02902,0.32780,0.33670,0.30955,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 17:34:10,2800,0.04431,0.02799,0.32855,0.33635,0.31103,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 17:36:35,2850,0.04444,0.02906,0.32725,0.33585,0.30701,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 17:38:51,2900,0.04447,0.02861,0.32725,0.33525,0.30821,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 17:41:13,2950,0.04450,0.02878,0.32570,0.33655,0.30251,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 17:43:42,3000,0.04455,0.02908,0.32660,0.33450,0.30637,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 17:45:58,3050,0.04443,0.02834,0.32890,0.33710,0.31209,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 17:48:20,3100,0.04358,0.02814,0.32735,0.33495,0.30839,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 17:50:54,3150,0.04422,0.02857,0.32605,0.33540,0.30526,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 17:53:17,3200,0.04344,0.02781,0.32595,0.33350,0.30521,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 17:55:34,3250,0.04398,0.02806,0.32615,0.33530,0.30847,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 17:57:56,3300,0.04359,0.02783,0.32580,0.33355,0.30402,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 18:00:28,3350,0.04354,0.02839,0.32650,0.33775,0.30578,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 18:02:57,3400,0.04371,0.02835,0.32265,0.33320,0.30253,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 18:05:23,3450,0.04358,0.02827,0.32515,0.33555,0.30639,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 18:08:07,3500,0.04329,0.02774,0.32480,0.33665,0.30559,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 18:10:45,3550,0.04319,0.02767,0.32390,0.33600,0.30337,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 18:12:58,3600,0.04381,0.02914,0.32465,0.33625,0.30331,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 18:15:21,3650,0.04285,0.02722,0.32550,0.34040,0.30594,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 18:17:32,3700,0.04331,0.02778,0.32695,0.33860,0.30624,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 18:19:59,3750,0.04349,0.02770,0.32530,0.33880,0.30387,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 18:22:25,3800,0.04333,0.02737,0.32405,0.33800,0.30203,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 18:24:36,3850,0.04314,0.02789,0.32595,0.33800,0.30495,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 18:27:05,3900,0.04277,0.02732,0.32450,0.33265,0.30242,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 18:29:47,3950,0.04223,0.02702,0.32390,0.33345,0.30212,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 18:32:11,4000,0.04286,0.02708,0.32285,0.33000,0.30147,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 18:34:35,4050,0.04267,0.02742,0.32210,0.32970,0.29963,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 18:36:54,4100,0.04284,0.02757,0.32155,0.32635,0.29739,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 18:39:27,4150,0.04286,0.02785,0.32200,0.32045,0.29813,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 18:41:41,4200,0.04294,0.02792,0.32255,0.32135,0.29934,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 18:44:14,4250,0.04242,0.02672,0.32400,0.32385,0.30069,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 18:46:51,4300,0.04279,0.02701,0.32115,0.32640,0.29694,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 18:49:11,4350,0.04252,0.02668,0.32375,0.32455,0.30080,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 18:51:54,4400,0.04226,0.02676,0.32210,0.32985,0.29570,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 18:54:06,4450,0.04242,0.02729,0.32330,0.32335,0.29824,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 18:56:31,4500,0.04311,0.02788,0.32290,0.32630,0.29660,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 18:58:42,4550,0.04225,0.02603,0.32165,0.31945,0.29563,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 19:00:52,4600,0.04225,0.02635,0.32420,0.32405,0.30040,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 19:03:23,4650,0.04209,0.02577,0.32410,0.32995,0.30014,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 19:05:50,4700,0.04192,0.02669,0.32425,0.32405,0.29797,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 19:08:07,4750,0.04186,0.02593,0.32600,0.32390,0.30226,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 19:10:26,4800,0.04267,0.02628,0.32340,0.31120,0.29636,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 19:12:49,4850,0.04169,0.02587,0.32245,0.31785,0.29660,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 19:15:21,4900,0.04170,0.02520,0.32055,0.31720,0.29621,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 19:17:32,4950,0.04180,0.02602,0.31795,0.31760,0.29473,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 19:19:45,5000,0.04167,0.02618,0.32100,0.32430,0.29701,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 19:22:22,5050,0.04211,0.02607,0.32020,0.32170,0.29655,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 19:24:32,5100,0.04165,0.02613,0.32050,0.32540,0.29861,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 19:26:52,5150,0.04184,0.02578,0.32045,0.32160,0.29844,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 19:29:25,5200,0.04178,0.02591,0.32310,0.32245,0.30075,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 19:31:38,5250,0.04165,0.02548,0.32295,0.32000,0.29858,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 19:33:49,5300,0.04163,0.02593,0.32235,0.32520,0.29839,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 19:36:08,5350,0.04153,0.02558,0.32065,0.32270,0.29597,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 19:38:33,5400,0.04191,0.02639,0.32000,0.31720,0.29346,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 19:40:42,5450,0.04160,0.02632,0.32140,0.32045,0.29976,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 19:43:01,5500,0.04179,0.02641,0.31890,0.31930,0.29660,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 19:45:31,5550,0.04217,0.02633,0.31925,0.32210,0.29822,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 19:47:52,5600,0.04122,0.02527,0.31830,0.32235,0.29543,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 19:50:03,5650,0.04200,0.02685,0.31825,0.32260,0.29265,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 19:52:17,5700,0.04144,0.02538,0.31735,0.32185,0.29326,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 19:54:46,5750,0.04160,0.02542,0.31975,0.31965,0.29393,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 19:56:55,5800,0.04152,0.02565,0.31985,0.31135,0.29497,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 19:59:17,5850,0.04171,0.02535,0.31675,0.31010,0.29126,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 20:01:37,5900,0.04174,0.02571,0.31455,0.30125,0.28917,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 20:03:59,5950,0.04165,0.02630,0.31180,0.30790,0.28455,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 20:06:26,6000,0.04185,0.02600,0.31205,0.31270,0.28551,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 20:08:38,6050,0.04166,0.02560,0.31495,0.31785,0.29082,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 20:10:46,6100,0.04105,0.02552,0.31340,0.31360,0.28766,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 20:13:18,6150,0.04108,0.02556,0.31405,0.31660,0.29304,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 20:15:27,6200,0.04192,0.02530,0.31115,0.31340,0.29098,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 20:17:47,6250,0.04123,0.02570,0.30910,0.30980,0.28556,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 20:20:27,6300,0.04142,0.02552,0.31005,0.30930,0.28801,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 20:22:43,6350,0.04128,0.02542,0.31100,0.31305,0.28766,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 20:24:53,6400,0.04109,0.02475,0.31165,0.31105,0.29123,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 20:27:08,6450,0.04107,0.02488,0.31075,0.31155,0.29095,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 20:29:34,6500,0.04122,0.02569,0.30740,0.30545,0.28413,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 20:31:42,6550,0.04154,0.02554,0.30765,0.30760,0.28826,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 20:34:09,6600,0.04107,0.02494,0.30780,0.30735,0.28810,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 20:36:24,6650,0.04088,0.02493,0.30945,0.30730,0.28872,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 20:38:48,6700,0.04100,0.02570,0.31020,0.30990,0.29131,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 20:41:13,6750,0.04093,0.02489,0.30985,0.30825,0.28885,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 20:43:23,6800,0.04114,0.02512,0.31055,0.31205,0.29138,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 20:45:34,6850,0.04068,0.02542,0.31090,0.31160,0.29157,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 20:48:09,6900,0.04153,0.02590,0.30945,0.31035,0.28915,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 20:50:13,6950,0.04109,0.02500,0.30980,0.30830,0.28851,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 20:52:22,7000,0.04096,0.02546,0.31195,0.30370,0.28866,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 20:54:33,7050,0.04087,0.02523,0.31165,0.29695,0.28778,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 20:56:45,7100,0.04097,0.02528,0.31120,0.30880,0.28994,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 20:58:54,7150,0.04093,0.02535,0.31155,0.31070,0.29316,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 21:01:02,7200,0.04120,0.02458,0.31265,0.31005,0.29202,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 21:03:33,7250,0.04106,0.02526,0.31225,0.31060,0.29071,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 21:05:37,7300,0.04072,0.02478,0.31175,0.31120,0.29243,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 21:07:53,7350,0.04048,0.02484,0.31315,0.31170,0.29370,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 21:10:26,7400,0.04063,0.02505,0.30810,0.30870,0.28785,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 21:12:42,7450,0.04093,0.02512,0.31000,0.30960,0.28999,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 21:14:51,7500,0.04061,0.02502,0.31110,0.30380,0.28815,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 21:17:13,7550,0.04065,0.02485,0.31140,0.30860,0.28867,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 21:19:36,7600,0.04087,0.02357,0.31065,0.30780,0.28526,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 21:21:46,7650,0.04098,0.02475,0.31210,0.31015,0.29052,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 21:23:59,7700,0.04072,0.02453,0.31355,0.31210,0.29268,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 21:26:08,7750,0.04072,0.02386,0.31065,0.30870,0.28469,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 21:28:28,7800,0.04053,0.02413,0.30940,0.30825,0.28757,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
