Time,Step,Contrastive Loss,Clustering Loss,[Representation] ACC,[Model] ACC,NMI Model,Note: ...
10/08/2021 21:32:11,0,0.02327,0.00514,0.64401,0.61812,0.86611,_search_snippets_distil_lre-4_JSD_lr=1e-6/-/1e-5 scale=0.0125/0.1 batch= 256_
10/08/2021 21:32:58,25,0.01687,0.00440,0.61206,0.62136,0.86770,_search_snippets_distil_lre-4_JSD_lr=1e-6/-/1e-5 scale=0.0125/0.1 batch= 256_
10/08/2021 21:33:52,50,0.01447,0.00354,0.64523,0.62136,0.86830,_search_snippets_distil_lre-4_JSD_lr=1e-6/-/1e-5 scale=0.0125/0.1 batch= 256_
10/08/2021 21:34:25,75,0.01447,0.00383,0.67718,0.62217,0.86837,_search_snippets_distil_lre-4_JSD_lr=1e-6/-/1e-5 scale=0.0125/0.1 batch= 256_
10/08/2021 21:34:57,100,0.01417,0.00371,0.64320,0.62176,0.86842,_search_snippets_distil_lre-4_JSD_lr=1e-6/-/1e-5 scale=0.0125/0.1 batch= 256_
10/08/2021 21:35:28,125,0.01512,0.00452,0.66100,0.62217,0.86846,_search_snippets_distil_lre-4_JSD_lr=1e-6/-/1e-5 scale=0.0125/0.1 batch= 256_
10/08/2021 21:36:00,150,0.01476,0.00435,0.63309,0.62379,0.86924,_search_snippets_distil_lre-4_JSD_lr=1e-6/-/1e-5 scale=0.0125/0.1 batch= 256_
10/08/2021 21:36:40,175,0.01543,0.00498,0.65332,0.62540,0.87023,_search_snippets_distil_lre-4_JSD_lr=1e-6/-/1e-5 scale=0.0125/0.1 batch= 256_
10/08/2021 21:37:17,200,0.01552,0.00507,0.67476,0.62581,0.87002,_search_snippets_distil_lre-4_JSD_lr=1e-6/-/1e-5 scale=0.0125/0.1 batch= 256_
10/08/2021 21:38:01,225,0.01572,0.00498,0.62945,0.62864,0.87106,_search_snippets_distil_lre-4_JSD_lr=1e-6/-/1e-5 scale=0.0125/0.1 batch= 256_
10/08/2021 21:38:57,250,0.01664,0.00605,0.65251,0.62824,0.87113,_search_snippets_distil_lre-4_JSD_lr=1e-6/-/1e-5 scale=0.0125/0.1 batch= 256_
10/08/2021 21:39:48,275,0.01662,0.00596,0.67354,0.62905,0.87173,_search_snippets_distil_lre-4_JSD_lr=1e-6/-/1e-5 scale=0.0125/0.1 batch= 256_
10/08/2021 21:40:34,300,0.01718,0.00648,0.67031,0.62945,0.87243,_search_snippets_distil_lre-4_JSD_lr=1e-6/-/1e-5 scale=0.0125/0.1 batch= 256_
10/08/2021 21:41:32,325,0.01797,0.00729,0.67759,0.63066,0.87292,_search_snippets_distil_lre-4_JSD_lr=1e-6/-/1e-5 scale=0.0125/0.1 batch= 256_
10/08/2021 21:42:23,350,0.01863,0.00772,0.71076,0.63107,0.87310,_search_snippets_distil_lre-4_JSD_lr=1e-6/-/1e-5 scale=0.0125/0.1 batch= 256_
10/08/2021 21:43:18,375,0.01882,0.00809,0.68163,0.63309,0.87352,_search_snippets_distil_lre-4_JSD_lr=1e-6/-/1e-5 scale=0.0125/0.1 batch= 256_
10/08/2021 21:44:16,400,0.01946,0.00835,0.69660,0.63633,0.87302,_search_snippets_distil_lre-4_JSD_lr=1e-6/-/1e-5 scale=0.0125/0.1 batch= 256_
10/08/2021 21:45:09,425,0.01936,0.00840,0.71764,0.63956,0.87335,_search_snippets_distil_lre-4_JSD_lr=1e-6/-/1e-5 scale=0.0125/0.1 batch= 256_
10/08/2021 21:46:08,450,0.02010,0.00914,0.74110,0.64442,0.87394,_search_snippets_distil_lre-4_JSD_lr=1e-6/-/1e-5 scale=0.0125/0.1 batch= 256_
10/08/2021 21:47:01,475,0.02112,0.01024,0.73503,0.64765,0.87376,_search_snippets_distil_lre-4_JSD_lr=1e-6/-/1e-5 scale=0.0125/0.1 batch= 256_
10/08/2021 21:48:03,500,0.02341,0.01153,0.74595,0.65494,0.87475,_search_snippets_distil_lre-4_JSD_lr=1e-6/-/1e-5 scale=0.0125/0.1 batch= 256_
10/08/2021 21:48:54,525,0.02150,0.01046,0.71521,0.66100,0.87568,_search_snippets_distil_lre-4_JSD_lr=1e-6/-/1e-5 scale=0.0125/0.1 batch= 256_
10/08/2021 21:49:56,550,0.02224,0.01123,0.76456,0.66586,0.87687,_search_snippets_distil_lre-4_JSD_lr=1e-6/-/1e-5 scale=0.0125/0.1 batch= 256_
10/08/2021 21:50:47,575,0.02233,0.01117,0.73746,0.67071,0.87689,_search_snippets_distil_lre-4_JSD_lr=1e-6/-/1e-5 scale=0.0125/0.1 batch= 256_
10/08/2021 21:51:41,600,0.02458,0.01277,0.73948,0.67921,0.87816,_search_snippets_distil_lre-4_JSD_lr=1e-6/-/1e-5 scale=0.0125/0.1 batch= 256_
10/08/2021 21:52:40,625,0.02534,0.01384,0.77832,0.68811,0.88018,_search_snippets_distil_lre-4_JSD_lr=1e-6/-/1e-5 scale=0.0125/0.1 batch= 256_
10/08/2021 21:53:29,650,0.02711,0.01503,0.77184,0.69296,0.88131,_search_snippets_distil_lre-4_JSD_lr=1e-6/-/1e-5 scale=0.0125/0.1 batch= 256_
10/08/2021 21:54:31,675,0.02581,0.01422,0.79086,0.70065,0.88366,_search_snippets_distil_lre-4_JSD_lr=1e-6/-/1e-5 scale=0.0125/0.1 batch= 256_
10/08/2021 21:55:21,700,0.02663,0.01470,0.80502,0.70752,0.88582,_search_snippets_distil_lre-4_JSD_lr=1e-6/-/1e-5 scale=0.0125/0.1 batch= 256_
10/08/2021 21:56:28,725,0.02725,0.01555,0.77427,0.71238,0.88617,_search_snippets_distil_lre-4_JSD_lr=1e-6/-/1e-5 scale=0.0125/0.1 batch= 256_
