Time,Step,Contrastive Loss,Clustering Loss,[Representation] ACC,[Model] ACC,NMI Model,Note: ...
28/07/2021 11:10:08,0,0.01931,0.00490,0.62824,0.61812,0.86611,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 11:11:16,50,0.01205,0.00341,0.65008,0.62176,0.86831,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 11:12:13,100,0.01281,0.00421,0.60882,0.62257,0.86883,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 11:13:49,150,0.01342,0.00486,0.63107,0.62621,0.87075,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 11:15:01,200,0.01354,0.00505,0.72694,0.62824,0.87045,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 11:16:04,250,0.01459,0.00595,0.68083,0.62945,0.87179,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 11:17:31,300,0.01569,0.00708,0.66262,0.63188,0.87305,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 11:18:31,350,0.01655,0.00781,0.66586,0.63633,0.87368,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 11:19:37,400,0.01753,0.00867,0.72775,0.64280,0.87371,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 11:20:45,450,0.01812,0.00915,0.70024,0.64846,0.87374,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 11:21:51,500,0.01990,0.01079,0.75526,0.65736,0.87510,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 11:22:54,550,0.02122,0.01191,0.77832,0.66909,0.87794,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 11:24:02,600,0.02236,0.01288,0.73301,0.68123,0.87868,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 11:25:17,650,0.02379,0.01449,0.78277,0.69296,0.88177,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 11:26:17,700,0.02424,0.01448,0.75688,0.70307,0.88375,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 11:27:38,750,0.02428,0.01473,0.80178,0.71521,0.88781,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 11:29:05,800,0.02634,0.01663,0.79288,0.72249,0.88882,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 11:30:02,850,0.02639,0.01679,0.77104,0.73261,0.89183,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 11:31:25,900,0.02702,0.01720,0.81917,0.73908,0.89262,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 11:32:43,950,0.02873,0.01886,0.79693,0.75324,0.89655,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 11:33:40,1000,0.02987,0.01995,0.83981,0.76456,0.90052,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 11:35:01,1050,0.02867,0.01900,0.84426,0.77184,0.90267,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 11:36:02,1100,0.03034,0.02048,0.85154,0.78196,0.90570,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 11:37:10,1150,0.03227,0.02231,0.85275,0.78762,0.90753,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
28/07/2021 11:38:18,1200,0.03227,0.02216,0.82969,0.79531,0.90954,_search_snippets_distil_lre-4_JSD_lr=6/-/5 scale=0.01/0.1 batch= 350_
