Time,Step,Contrastive Loss,Clustering Loss,[Representation] ACC,[Model] ACC,NMI Model,Note: ...
12/07/2021 08:34:21,0,1.09859,0.00016,0.72861,0.73274,0.59244,_search_snippets_distil_lre-4_JSD_lr=6/4/4 scale=1/1 batch= 256_
12/07/2021 08:36:08,50,0.74165,0.00038,0.73371,0.72731,0.58999,_search_snippets_distil_lre-4_JSD_lr=6/4/4 scale=1/1 batch= 256_
12/07/2021 08:37:53,100,0.73841,0.00067,0.73347,0.72528,0.58847,_search_snippets_distil_lre-4_JSD_lr=6/4/4 scale=1/1 batch= 256_
12/07/2021 08:39:38,150,0.73173,0.00107,0.72925,0.72156,0.58415,_search_snippets_distil_lre-4_JSD_lr=6/4/4 scale=1/1 batch= 256_
12/07/2021 08:41:23,200,0.73268,0.00156,0.72853,0.71864,0.58076,_search_snippets_distil_lre-4_JSD_lr=6/4/4 scale=1/1 batch= 256_
12/07/2021 08:43:08,250,0.73062,0.00232,0.72561,0.71272,0.57465,_search_snippets_distil_lre-4_JSD_lr=6/4/4 scale=1/1 batch= 256_
12/07/2021 08:44:57,300,0.73183,0.00306,0.72374,0.70851,0.57033,_search_snippets_distil_lre-4_JSD_lr=6/4/4 scale=1/1 batch= 256_
12/07/2021 08:46:44,350,0.73101,0.00448,0.73006,0.70227,0.56442,_search_snippets_distil_lre-4_JSD_lr=6/4/4 scale=1/1 batch= 256_
12/07/2021 08:48:29,400,0.73147,0.00530,0.72715,0.69530,0.55541,_search_snippets_distil_lre-4_JSD_lr=6/4/4 scale=1/1 batch= 256_
12/07/2021 08:50:15,450,0.73137,0.00667,0.72715,0.68930,0.54999,_search_snippets_distil_lre-4_JSD_lr=6/4/4 scale=1/1 batch= 256_
12/07/2021 08:51:58,500,0.73601,0.00931,0.72577,0.68258,0.54364,_search_snippets_distil_lre-4_JSD_lr=6/4/4 scale=1/1 batch= 256_
12/07/2021 08:53:42,550,0.74116,0.01025,0.73128,0.67707,0.53851,_search_snippets_distil_lre-4_JSD_lr=6/4/4 scale=1/1 batch= 256_
12/07/2021 08:55:27,600,0.74382,0.01428,0.72747,0.67026,0.53430,_search_snippets_distil_lre-4_JSD_lr=6/4/4 scale=1/1 batch= 256_
12/07/2021 08:57:12,650,0.74600,0.01590,0.72812,0.66232,0.52717,_search_snippets_distil_lre-4_JSD_lr=6/4/4 scale=1/1 batch= 256_
12/07/2021 08:58:57,700,0.74445,0.01677,0.72690,0.65332,0.52076,_search_snippets_distil_lre-4_JSD_lr=6/4/4 scale=1/1 batch= 256_
12/07/2021 09:00:41,750,0.75185,0.02190,0.73323,0.64716,0.51709,_search_snippets_distil_lre-4_JSD_lr=6/4/4 scale=1/1 batch= 256_
12/07/2021 09:02:26,800,0.76212,0.02784,0.72885,0.63971,0.51028,_search_snippets_distil_lre-4_JSD_lr=6/4/4 scale=1/1 batch= 256_
12/07/2021 09:04:10,850,0.77145,0.03425,0.73152,0.64036,0.51393,_search_snippets_distil_lre-4_JSD_lr=6/4/4 scale=1/1 batch= 256_
12/07/2021 09:05:54,900,0.77945,0.03892,0.73865,0.64133,0.51616,_search_snippets_distil_lre-4_JSD_lr=6/4/4 scale=1/1 batch= 256_
12/07/2021 09:07:39,950,0.79271,0.04781,0.70251,0.64246,0.51975,_search_snippets_distil_lre-4_JSD_lr=6/4/4 scale=1/1 batch= 256_
12/07/2021 09:09:23,1000,0.80044,0.05003,0.68533,0.64173,0.51981,_search_snippets_distil_lre-4_JSD_lr=6/4/4 scale=1/1 batch= 256_
12/07/2021 09:11:07,1050,0.82189,0.06502,0.70997,0.64279,0.51835,_search_snippets_distil_lre-4_JSD_lr=6/4/4 scale=1/1 batch= 256_
12/07/2021 09:12:52,1100,0.83679,0.07154,0.71596,0.64408,0.51683,_search_snippets_distil_lre-4_JSD_lr=6/4/4 scale=1/1 batch= 256_
12/07/2021 09:14:38,1150,0.83798,0.06878,0.71337,0.64643,0.51756,_search_snippets_distil_lre-4_JSD_lr=6/4/4 scale=1/1 batch= 256_
12/07/2021 09:16:22,1200,0.85402,0.08016,0.70940,0.64911,0.51721,_search_snippets_distil_lre-4_JSD_lr=6/4/4 scale=1/1 batch= 256_
12/07/2021 09:18:07,1250,0.87660,0.09316,0.66151,0.66240,0.52761,_search_snippets_distil_lre-4_JSD_lr=6/4/4 scale=1/1 batch= 256_
12/07/2021 09:19:50,1300,0.88597,0.09395,0.66094,0.67674,0.53680,_search_snippets_distil_lre-4_JSD_lr=6/4/4 scale=1/1 batch= 256_
12/07/2021 09:21:33,1350,0.88163,0.09755,0.68574,0.68468,0.54200,_search_snippets_distil_lre-4_JSD_lr=6/4/4 scale=1/1 batch= 256_
12/07/2021 09:23:17,1400,0.86247,0.08478,0.66175,0.63355,0.52006,_search_snippets_distil_lre-4_JSD_lr=6/4/4 scale=1/1 batch= 256_
12/07/2021 09:25:00,1450,0.91299,0.10968,0.66037,0.67269,0.53047,_search_snippets_distil_lre-4_JSD_lr=6/4/4 scale=1/1 batch= 256_
12/07/2021 09:26:43,1500,0.91630,0.11023,0.66588,0.65138,0.52979,_search_snippets_distil_lre-4_JSD_lr=6/4/4 scale=1/1 batch= 256_
12/07/2021 09:28:25,1550,0.91210,0.11053,0.66475,0.64263,0.53047,_search_snippets_distil_lre-4_JSD_lr=6/4/4 scale=1/1 batch= 256_
12/07/2021 09:30:08,1600,0.92374,0.10589,0.66070,0.64222,0.53123,_search_snippets_distil_lre-4_JSD_lr=6/4/4 scale=1/1 batch= 256_
12/07/2021 09:31:51,1650,0.92277,0.11389,0.65827,0.63963,0.52946,_search_snippets_distil_lre-4_JSD_lr=6/4/4 scale=1/1 batch= 256_
12/07/2021 09:33:34,1700,0.92191,0.11210,0.66288,0.64011,0.52848,_search_snippets_distil_lre-4_JSD_lr=6/4/4 scale=1/1 batch= 256_
12/07/2021 09:35:16,1750,0.90614,0.10648,0.66005,0.63177,0.52404,_search_snippets_distil_lre-4_JSD_lr=6/4/4 scale=1/1 batch= 256_
12/07/2021 09:36:59,1800,0.90663,0.10706,0.66475,0.63250,0.52598,_search_snippets_distil_lre-4_JSD_lr=6/4/4 scale=1/1 batch= 256_
12/07/2021 09:38:41,1850,0.91463,0.11098,0.65583,0.61815,0.51538,_search_snippets_distil_lre-4_JSD_lr=6/4/4 scale=1/1 batch= 256_
12/07/2021 09:40:25,1900,0.93149,0.11602,0.65373,0.62075,0.51977,_search_snippets_distil_lre-4_JSD_lr=6/4/4 scale=1/1 batch= 256_
12/07/2021 09:42:07,1950,0.91833,0.11483,0.66921,0.62407,0.51913,_search_snippets_distil_lre-4_JSD_lr=6/4/4 scale=1/1 batch= 256_
12/07/2021 09:43:51,2000,0.92641,0.11637,0.70705,0.61232,0.51815,_search_snippets_distil_lre-4_JSD_lr=6/4/4 scale=1/1 batch= 256_
12/07/2021 09:45:34,2050,0.93865,0.12061,0.65689,0.61402,0.50844,_search_snippets_distil_lre-4_JSD_lr=6/4/4 scale=1/1 batch= 256_
12/07/2021 09:47:18,2100,0.92755,0.11263,0.67002,0.62115,0.50156,_search_snippets_distil_lre-4_JSD_lr=6/4/4 scale=1/1 batch= 256_
12/07/2021 09:49:02,2150,0.89887,0.09958,0.65551,0.58306,0.50175,_search_snippets_distil_lre-4_JSD_lr=6/4/4 scale=1/1 batch= 256_
12/07/2021 09:50:45,2200,0.94991,0.12623,0.70810,0.59765,0.51019,_search_snippets_distil_lre-4_JSD_lr=6/4/4 scale=1/1 batch= 256_
12/07/2021 09:52:27,2250,0.95774,0.12666,0.68849,0.64733,0.52743,_search_snippets_distil_lre-4_JSD_lr=6/4/4 scale=1/1 batch= 256_
12/07/2021 09:54:11,2300,0.93650,0.12107,0.71110,0.64344,0.51650,_search_snippets_distil_lre-4_JSD_lr=6/4/4 scale=1/1 batch= 256_
12/07/2021 09:55:54,2350,0.95080,0.12494,0.65559,0.58566,0.50205,_search_snippets_distil_lre-4_JSD_lr=6/4/4 scale=1/1 batch= 256_
12/07/2021 09:57:36,2400,0.88551,0.09138,0.71191,0.62261,0.51238,_search_snippets_distil_lre-4_JSD_lr=6/4/4 scale=1/1 batch= 256_
12/07/2021 09:59:20,2450,0.91148,0.10604,0.69441,0.58801,0.48466,_search_snippets_distil_lre-4_JSD_lr=6/4/4 scale=1/1 batch= 256_
12/07/2021 10:01:03,2500,0.92367,0.10806,0.71216,0.63314,0.51394,_search_snippets_distil_lre-4_JSD_lr=6/4/4 scale=1/1 batch= 256_
12/07/2021 10:04:59,0,1.10005,0.00162,0.72861,0.73274,0.59244,_search_snippets_distil_lre-4_JSD_lr=6/4/4 scale=1/10 batch= 256_
12/07/2021 10:06:46,50,0.77010,0.02409,0.73598,0.72836,0.59070,_search_snippets_distil_lre-4_JSD_lr=6/4/4 scale=1/10 batch= 256_
12/07/2021 10:08:32,100,0.89396,0.12239,0.73841,0.72731,0.58920,_search_snippets_distil_lre-4_JSD_lr=6/4/4 scale=1/10 batch= 256_
12/07/2021 10:10:17,150,1.37751,0.49995,0.74028,0.73533,0.59689,_search_snippets_distil_lre-4_JSD_lr=6/4/4 scale=1/10 batch= 256_
12/07/2021 10:12:02,200,2.72702,1.62662,0.74489,0.73209,0.58775,_search_snippets_distil_lre-4_JSD_lr=6/4/4 scale=1/10 batch= 256_
12/07/2021 10:13:47,250,3.50701,2.26344,0.72569,0.72399,0.58236,_search_snippets_distil_lre-4_JSD_lr=6/4/4 scale=1/10 batch= 256_
12/07/2021 10:15:33,300,3.79239,2.55731,0.73784,0.72755,0.59600,_search_snippets_distil_lre-4_JSD_lr=6/4/4 scale=1/10 batch= 256_
12/07/2021 10:17:17,350,3.91852,2.63307,0.73695,0.72990,0.60585,_search_snippets_distil_lre-4_JSD_lr=6/4/4 scale=1/10 batch= 256_
12/07/2021 10:19:01,400,3.92831,2.62120,0.73096,0.72869,0.61138,_search_snippets_distil_lre-4_JSD_lr=6/4/4 scale=1/10 batch= 256_
12/07/2021 10:20:45,450,3.97029,2.65381,0.73193,0.72958,0.61885,_search_snippets_distil_lre-4_JSD_lr=6/4/4 scale=1/10 batch= 256_
12/07/2021 10:22:29,500,3.89479,2.57582,0.72747,0.72472,0.61885,_search_snippets_distil_lre-4_JSD_lr=6/4/4 scale=1/10 batch= 256_
12/07/2021 10:24:12,550,3.86923,2.48614,0.72609,0.72318,0.61893,_search_snippets_distil_lre-4_JSD_lr=6/4/4 scale=1/10 batch= 256_
12/07/2021 10:25:55,600,3.84649,2.44567,0.72990,0.72423,0.62326,_search_snippets_distil_lre-4_JSD_lr=6/4/4 scale=1/10 batch= 256_
12/07/2021 10:27:39,650,3.81716,2.34876,0.72569,0.71896,0.62278,_search_snippets_distil_lre-4_JSD_lr=6/4/4 scale=1/10 batch= 256_
12/07/2021 10:29:22,700,3.71829,2.30091,0.72131,0.71645,0.62115,_search_snippets_distil_lre-4_JSD_lr=6/4/4 scale=1/10 batch= 256_
12/07/2021 10:31:05,750,3.73081,2.24269,0.71977,0.71216,0.61941,_search_snippets_distil_lre-4_JSD_lr=6/4/4 scale=1/10 batch= 256_
12/07/2021 10:32:48,800,3.63133,2.17445,0.72050,0.71248,0.62236,_search_snippets_distil_lre-4_JSD_lr=6/4/4 scale=1/10 batch= 256_
12/07/2021 10:34:31,850,3.64064,2.14861,0.73712,0.71759,0.62493,_search_snippets_distil_lre-4_JSD_lr=6/4/4 scale=1/10 batch= 256_
12/07/2021 10:36:15,900,3.61993,2.10325,0.73663,0.71840,0.62477,_search_snippets_distil_lre-4_JSD_lr=6/4/4 scale=1/10 batch= 256_
12/07/2021 10:37:57,950,3.58817,2.07087,0.73582,0.71596,0.62339,_search_snippets_distil_lre-4_JSD_lr=6/4/4 scale=1/10 batch= 256_
12/07/2021 10:39:39,1000,3.60938,2.01085,0.73533,0.71613,0.62267,_search_snippets_distil_lre-4_JSD_lr=6/4/4 scale=1/10 batch= 256_
12/07/2021 10:41:22,1050,3.57901,2.01341,0.73468,0.71426,0.61991,_search_snippets_distil_lre-4_JSD_lr=6/4/4 scale=1/10 batch= 256_
12/07/2021 10:43:06,1100,3.56497,1.95216,0.73598,0.71588,0.61941,_search_snippets_distil_lre-4_JSD_lr=6/4/4 scale=1/10 batch= 256_
12/07/2021 10:44:50,1150,3.52460,1.93848,0.73509,0.71094,0.61704,_search_snippets_distil_lre-4_JSD_lr=6/4/4 scale=1/10 batch= 256_
12/07/2021 10:46:33,1200,3.58524,1.89976,0.73671,0.71045,0.61679,_search_snippets_distil_lre-4_JSD_lr=6/4/4 scale=1/10 batch= 256_
12/07/2021 10:48:17,1250,3.53696,1.87064,0.73801,0.71321,0.61424,_search_snippets_distil_lre-4_JSD_lr=6/4/4 scale=1/10 batch= 256_
12/07/2021 10:50:00,1300,3.53577,1.86466,0.73865,0.70956,0.61166,_search_snippets_distil_lre-4_JSD_lr=6/4/4 scale=1/10 batch= 256_
12/07/2021 10:51:44,1350,3.49799,1.83135,0.73857,0.69246,0.59903,_search_snippets_distil_lre-4_JSD_lr=6/4/4 scale=1/10 batch= 256_
12/07/2021 10:53:28,1400,3.49075,1.79862,0.73663,0.66378,0.59344,_search_snippets_distil_lre-4_JSD_lr=6/4/4 scale=1/10 batch= 256_
12/07/2021 10:55:12,1450,3.48521,1.80630,0.73776,0.64773,0.59068,_search_snippets_distil_lre-4_JSD_lr=6/4/4 scale=1/10 batch= 256_
12/07/2021 10:57:02,1500,3.48866,1.77962,0.73890,0.62901,0.59294,_search_snippets_distil_lre-4_JSD_lr=6/4/4 scale=1/10 batch= 256_
12/07/2021 11:03:56,0,1.10491,0.00649,0.72909,0.73274,0.59244,_search_snippets_distil_lre-4_JSD_lr=6/4/4 scale=1/40 batch= 256_
12/07/2021 11:05:39,50,1.79801,0.84976,0.73639,0.73241,0.59567,_search_snippets_distil_lre-4_JSD_lr=6/4/4 scale=1/40 batch= 256_
12/07/2021 11:07:21,100,5.79427,4.41773,0.74287,0.73703,0.59083,_search_snippets_distil_lre-4_JSD_lr=6/4/4 scale=1/40 batch= 256_
