Time,Step,Contrastive Loss,Clustering Loss,[Representation] ACC,[Model] ACC,NMI Model,Note: JSD_no_ln2 with scale = 1/100 batch 256
10/07/2021 06:33:23,0,1.295,0.014,0.655,0.727,0.588,_search_snippets_distil_lre-4_JSD
10/07/2021 06:34:41,50,6.059,4.716,0.667,0.723,0.583,_search_snippets_distil_lre-4_JSD
10/07/2021 06:35:58,100,11.296,9.943,0.682,0.676,0.530,_search_snippets_distil_lre-4_JSD
10/07/2021 06:37:13,150,14.923,13.572,0.749,0.637,0.510,_search_snippets_distil_lre-4_JSD
10/07/2021 06:38:26,200,17.720,16.371,0.741,0.622,0.511,_search_snippets_distil_lre-4_JSD
10/07/2021 06:39:40,250,20.856,19.511,0.638,0.622,0.522,_search_snippets_distil_lre-4_JSD
10/07/2021 06:40:54,300,20.779,19.434,0.640,0.623,0.531,_search_snippets_distil_lre-4_JSD
10/07/2021 06:42:08,350,21.841,20.512,0.701,0.631,0.540,_search_snippets_distil_lre-4_JSD
10/07/2021 06:43:24,400,21.102,19.760,0.711,0.639,0.541,_search_snippets_distil_lre-4_JSD
10/07/2021 06:44:37,450,20.814,19.473,0.703,0.633,0.540,_search_snippets_distil_lre-4_JSD
10/07/2021 06:45:50,500,20.906,19.567,0.707,0.637,0.540,_search_snippets_distil_lre-4_JSD
10/07/2021 06:47:03,550,20.243,18.904,0.712,0.647,0.545,_search_snippets_distil_lre-4_JSD
10/07/2021 06:48:17,600,20.582,19.245,0.703,0.637,0.541,_search_snippets_distil_lre-4_JSD
10/07/2021 06:49:31,650,19.881,18.543,0.706,0.641,0.542,_search_snippets_distil_lre-4_JSD
10/07/2021 06:50:44,700,19.817,18.481,0.712,0.646,0.542,_search_snippets_distil_lre-4_JSD
10/07/2021 06:51:58,750,19.069,17.733,0.715,0.648,0.545,_search_snippets_distil_lre-4_JSD
10/07/2021 06:53:12,800,18.790,17.455,0.716,0.654,0.549,_search_snippets_distil_lre-4_JSD
